Day         #/ml  Luckinbill, D. nasutum, 18 Day.
0.00        4.75
0.6        19.89
1.1        25.70
1.6        29.14
2.0        35.16
2.6        52.66
3.3        41.34
3.8        32.79
4.2        17.42
4.7        16.21
5.2         7.67
5.7        11.21
6.4        16.52
6.9        22.14
7.4        25.68
7.9        53.00
8.3        97.15
9.0       135.75
9.6       115.12
10.1       75.67
10.6       36.32
11.0       18.47
11.7        7.25
12.2        8.11
12.7       14.13
13.2       15.20
13.8       51.76
14.3       97.74
14.7      173.10
15.0      217.56
15.5      194.76
15.9      169.77
16.2      111.92
16.5       53.96
17.1       16.69
17.6        5.86
18.0        0.00
