Day	#/ml: D. nasutum
0	6.17
0.5	16.25
1	24.26
1.5	34.34
2	30.01
2.5	33.88
3.1	43.91
3.5	33.43
4.1	22.91
4.5	33.01
5.1	16.28
5.5	14.04
6	26.2
6.5	46.53
7.1	75.09
7.5	56.39
8	35.58
8.6	23
9.1	16.61
9.6	8.17
10	7.96
10.5	26.26
11.1	50.71
11.7	85.45
12.1	72.89
12.6	60.36
13.1	66.29
13.7	45.48
14.1	30.87
14.6	20.37
15	16.07
15.6	17.89
16	19.76
16.6	42.14
17	87.25
17.2	113.89
17.7	99.27
18.1	92.92
18.7	65.91
19.2	38.95
19.7	11.99
20.2	9.72
20.5	9.56
21.1	19.61
21.6	35.83
22.1	43.84
22.6	35.4
23	53.73
23.5	67.92
24	55.36
24.6	44.81
25	40.51
25.5	34.13
26	19.51
26.6	13.1
27.1	19.04
27.6	16.77
28	26.87
28.5	36.94
29	67.59
29.6	83.81
30	54.82
30.5	48.41
31.1	29.65
31.5	13.01
32	14.85
32.4	24.95
32.8	49.45
