Day     #/ml Luckinbill 33 day P.aurelia
0.0     18.62
0.5     51.43
1.0     80.14
1.5     36.54
2.0     32.17
2.5     48.49
3.1     23.43
3.7     29.38
4.2     45.70
4.6     53.77
5.1     63.89
5.6    104.97
6.2     96.46
6.5     69.45
6.9     30.03
7.5      9.11
8.1     23.30
8.6     41.71
8.9     56.01
9.6     72.24
10.2   235.21
10.8   294.85
11.1   170.74
11.7    50.65
12.2    21.51
12.7    33.69
13.1    21.11
13.7    14.67
14.2    22.69
14.8    38.98
15.4    90.36
15.8   100.50
16.2   158.19
16.7   222.02
17.2    46.18
17.6    17.09
18.2     8.56
18.7    20.74
19.3    26.65
20.0    44.95
20.5    88.12
21.3   160.10
21.7   153.72
22.2   105.99
22.7    91.31
23.3    95.18
23.6    66.09
24.2    39.00
24.6    16.08
25.1    30.30
25.6    36.32
26.1    42.30
26.6    60.65
27.1   116.22
27.8   231.64
28.1   113.72
28.6   121.75
29.1    84.35
29.4    36.70
29.7    22.10
30.0     9.57
30.7     13.41
31.1     21.51
31.5     52.29
32.0     64.50
32.5     126.26
33.0     212.76
